Point: ,121-5582,,,,,
Location: ,"33.7368396830069, -84.3915096877317",,,,,
Road-Type: ,Principal Arterial,,,,,
Day: ,Mon,Tue,Wed,Mon,Tue,Wed
Date:,2023-04-10,2023-04-11,2023-04-12,2025-06-23,2025-06-24,2025-06-25
0:00:00 (V),,142,184,,174,161
1:00:00 (V),,119,111,,97,78
2:00:00 (V),,49,68,,64,60
3:00:00 (V),,31,33,,45,51
4:00:00 (V),,60,56,,65,65
5:00:00 (V),,112,104,,118,131
6:00:00 (V),,239,262,,264,368
7:00:00 (V),,628,613,,567,743
8:00:00 (V),,867,814,,929,982
9:00:00 (V),,731,755,,752,835
10:00:00 (V),,583,627,,726,640
11:00:00 (V),,610,616,,753,651
12:00:00 (V),,691,674,853,834,
13:00:00 (V),,696,708,928,848,
14:00:00 (V),,737,831,797,886,
15:00:00 (V),,977,923,919,1067,
16:00:00 (V),,1113,1117,1001,1073,
17:00:00 (V),,1226,1140,1003,1116,
18:00:00 (V),,1048,1021,788,880,
19:00:00(V),623,715,,624,637,
20:00:00 (V),514,587,,543,568,
21:00:00 (V),383,480,,437,436,
22:00:00 (V),318,311,,317,386,
23:00:00 (V),247,286,,304,207,
,,,,,,
12:00:00 (C),,0:129:8:3:1:1:0:0:0:0:0:0:0:0:0,2:169:10:1:2:0:0:0:0:0:0:0:0:0:0,,,
1:00:00 (C),,1:106:10:0:1:1:0:0:0:0:0:0:0:0:0,1:98:11:0:0:1:0:0:0:0:0:0:0:0:0,,,
2:00:00 (C),,0:46:3:0:0:0:0:0:0:0:0:0:0:0:0,0:62:6:0:0:0:0:0:0:0:0:0:0:0:0,,,
3:00:00 (C),,0:28:3:0:0:0:0:0:0:0:0:0:0:0:0,0:33:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
4:00:00 (C),,0:53:1:3:3:0:0:0:0:0:0:0:0:0:0,0:50:4:2:0:0:0:0:0:0:0:0:0:0:0,,,
5:00:00 (C),,3:88:15:2:4:0:0:0:0:0:0:0:0:0:0,1:81:13:4:4:1:0:0:0:0:0:0:0:0:0,,,
6:00:00 (C),,2:198:23:7:8:1:0:0:0:0:0:0:0:0:0,2:215:25:6:10:2:0:0:1:0:0:0:1:0:0,,,
7:00:00 (C),,1:522:61:9:26:6:0:1:2:0:0:0:0:0:0,3:500:69:11:20:8:2:0:0:0:0:0:0:0:0,,,
8:00:00 (C),,6:730:84:11:29:3:0:2:2:0:0:0:0:0:0,0:674:100:17:13:7:0:0:3:0:0:0:0:0:0,,,
9:00:00 (C),,1:600:91:14:20:1:1:2:1:0:0:0:0:0:0,2:624:85:17:17:5:0:2:2:0:0:0:1:0:0,,,
10:00:00 (C),,0:471:69:4:31:1:0:6:0:1:0:0:0:0:0,4:498:87:8:20:5:0:3:0:2:0:0:0:0:0,,,
11:00:00 (C),,1:487:86:7:22:2:1:2:1:1:0:0:0:0:0,6:510:69:7:17:3:0:3:0:1:0:0:0:0:0,,,
12:00:00 (C),,1:572:78:11:21:3:0:3:2:0:0:0:0:0:0,6:525:96:12:30:3:0:1:1:0:0:0:0:0:0,,,
13:00:00 (C),,3:572:91:6:20:1:1:2:0:0:0:0:0:0:0,6:585:72:9:29:5:0:1:1:0:0:0:0:0:0,,,
14:00:00 (C),,4:619:77:4:24:4:1:2:1:0:0:0:1:0:0,7:673:94:12:35:5:1:1:3:0:0:0:0:0:0,,,
15:00:00 (C),,8:819:119:6:21:2:0:0:2:0:0:0:0:0:0,5:779:109:5:20:2:1:0:2:0:0:0:0:0:0,,,
16:00:00 (C),,3:990:94:10:11:2:1:1:1:0:0:0:0:0:0,7:947:129:9:20:2:1:1:1:0:0:0:0:0:0,,,
17:00:00 (C),,7:1072:118:3:17:3:1:2:2:0:0:0:1:0:0,8:1003:99:4:21:4:0:0:0:0:0:0:1:0:0,,,
18:00:00 (C),,6:901:102:7:22:5:1:3:0:0:0:0:1:0:0,8:893:89:6:18:2:1:1:1:0:0:0:2:0:0,,,
19:00:00(C),5:551:45:6:12:1:0:3:0:0:0:0:0:0:0,6:642:53:3:8:1:0:1:1:0:0:0:0:0:0,,,,
20:00:00 (C),5:450:37:5:16:0:0:1:0:0:0:0:0:0:0,5:532:36:2:8:3:0:0:0:1:0:0:0:0:0,,,,
21:00:00 (C),2:338:29:3:9:2:0:0:0:0:0:0:0:0:0,7:419:39:2:11:1:0:0:1:0:0:0:0:0:0,,,,
22:00:00 (C),1:286:20:3:7:1:0:0:0:0:0:0:0:0:0,1:289:13:1:6:1:0:0:0:0:0:0:0:0:0,,,,
23:00:00 (C),0:214:21:3:8:1:0:0:0:0:0:0:0:0:0,1:261:17:3:4:0:0:0:0:0:0:0:0:0:0,,,,