,Point,RouteID,AvgMeasure,Road Classification,LANE_WIDTHVn,MEDIAN_TYPEVn,MEDIAN_WIDTHVn,SHOULDER_TYPEVn
0,121-5098,1121200347903INC,0.49,Minor Arterial ,,,,
1,121-5105,1121200358603INC,2.23,Minor Arterial ,,,,
2,121-6118,1121200067303INC,1.12,Minor Arterial ,,,,
3,121-5951,1121200183503INC,0.945,Minor Arterial ,,,,
4,121-5597,1121200052003INC,4.205,Minor Arterial ,,,,
5,121-5107,1121200358603INC,1.04,Minor Arterial ,,,,
6,121-5630,1121200186803INC,0.235,Minor Arterial ,,,,
7,121-5608,1121200186003INC,0.81,Minor Arterial ,,,,
8,121-5596,1121200052003INC,4.205,Minor Arterial ,,,,
9,121-5573,1121200174903INC,0.66,Minor Arterial ,,,,
10,121-5090,1121200346003INC,0.94,Minor Arterial ,10.0,1.0,,3.0
11,121-6224,1121200202303INC,0.365,Minor Arterial ,,,,
12,121-5594,1121200052003INC,4.205,Minor Arterial ,,,,
13,121-5580,1121200174903INC,0.66,Minor Arterial ,,,,
14,121-5088,1121200346003INC,0.94,Minor Arterial ,10.0,1.0,,3.0
15,121-5616,1121200369403INC,1.305,Minor Arterial ,,,,
16,121-5592,1121200052003INC,2.28,Minor Arterial ,,,,
17,121-5396,1000100015400INC,51.33,Minor Arterial ,,,,
18,121-7246,1121200169903INC,0.265,Minor Arterial ,,,,
19,121-5009,1121200347903INC,1.38,Minor Arterial ,,,,
20,121-5109,1121200358603INC,1.04,Minor Arterial ,,,,
21,121-5614,1121200179003INC,0.935,Minor Arterial ,,,,
22,121-5005,1121200358603INC,0.405,Minor Arterial ,,,,
23,121-0245,1121200200303INC,0.86,Minor Arterial ,,,,
24,121-5606,1121200186003INC,0.81,Minor Arterial ,,,,
25,121-5601,1121200140903INC,0.955,Minor Arterial ,,,,
26,121-5394,1000100015400INC,51.33,Minor Arterial ,,,,
27,121-5629,1121200186803INC,1.45,Minor Arterial ,,,,
28,121-0243,1121200611303INC,0.425,Minor Arterial ,,,,
29,121-6142,1121200379003INC,0.485,Minor Arterial ,,,,
30,121-5392,1000100015400INC,51.33,Minor Arterial ,,,,
31,121-5246,1121200358103INC,0.595,Minor Arterial ,,,,
32,121-5364,1121200347703INC,0.22,Minor Arterial ,,,,
33,121-5627,1121200186803INC,1.45,Minor Arterial ,,,,
34,121-5362,1121200347703INC,0.22,Minor Arterial ,,,,
35,121-5003,1121200243003INC,0.2,Minor Arterial ,,,,
36,121-5001,1121200347803INC,0.365,Minor Arterial ,,,,
37,121-5244,1121200358103INC,0.595,Minor Arterial ,,,,
38,121-8895,1121200243403INC,0.455,Minor Arterial ,,,,
39,121-5243,1121200358103INC,0.595,Minor Arterial ,,,,
40,121-5242,1121200348203INC,0.535,Minor Arterial ,,,,
41,121-5589,1121200052003INC,1.015,Minor Arterial ,,,,
42,121-5590,1121200052003INC,2.28,Minor Arterial ,,,,
43,121-5238,1000100005400INC,63.1,Minor Arterial ,,,,
44,121-5240,1121200348203INC,0.535,Minor Arterial ,,,,
45,121-5602,1121200140903INC,0.955,Minor Arterial ,,,,
46,121-5045,1000100000300INC,230.39,Minor Arterial ,,,,
47,121-5218,1000100001400INC,85.26,Minor Arterial ,,,,
48,121-5579,1121200232803INC,0.135,Minor Arterial ,,,,
49,121-5390,1000100013900INC,15.735,Minor Arterial ,,,,
50,121-5221,11211000003COINC,0.08,Minor Arterial ,,,,
51,121-5220,1000100001400INC,85.26,Minor Arterial ,,,,
52,121-5222,1000100001400INC,85.26,Minor Arterial ,,,,
53,121-6246,1121200239703INC,0.535,Minor Arterial ,,,,
54,121-0437,1121200379003INC,2.015,Minor Arterial ,,,,
55,121-6140,1121200955709INC,0.135,Minor Arterial ,,,,
56,121-0241,1121200379003INC,0.485,Minor Arterial ,,,,
57,121-5611,1121200179003INC,0.935,Minor Arterial ,,,,
58,121-5613,1121200179003INC,0.935,Minor Arterial ,,,,
59,121-6106,1121200058103INC,0.91,Major Collector,,,,
60,121-5621,1121200066103INC,0.33,Major Collector,,,,
61,121-6112,1121200061003INC,2.53,Major Collector,,,,
62,121-0407,11211000154COINC,0.125,Major Collector,,,,
63,121-7265,1121200355403INC,0.17,Major Collector,10.0,1.0,,3.0
64,121-6116,1121200066503INC,0.335,Major Collector,,,,
65,121-5006,1121200348103INC,0.075,Major Collector,10.0,1.0,,3.0
66,121-6238,1121200225603INC,1.095,Major Collector,,,,
67,121-6244,1121200236803INC,1.495,Major Collector,,,,
68,121-6253,1121200225603INC,1.095,Major Collector,,,,
69,121-0147,1121200226003INC,1.64,Major Collector,,,,
70,121-6328,1121200354103INC,1.41,Major Collector,,,,
71,121-6240,1121200225603INC,1.095,Major Collector,,,,
72,121-0145,1121200222703INC,0.57,Major Collector,,,,
73,121-6234,1121200222603INC,0.785,Major Collector,,,,
74,121-6186,1121200354103INC,1.41,Major Collector,,,,
75,121-0143,1121200142803INC,0.565,Major Collector,,,,
76,121-5610,1000100005400INC,70.245,Major Collector,,,,
77,121-6232,1121200222603INC,0.785,Major Collector,,,,
78,121-5609,1121200327903INC,0.515,Major Collector,,,,
79,121-5680,1121200165103INC,3.35,Major Collector,,,,
80,121-7245,1121200114903INC,0.79,Major Collector,,,,
81,121-5682,1121200165103INC,2.975,Major Collector,,,,
82,121-6214,1121200197903INC,0.435,Major Collector,,,,
83,121-6212,1121200197903INC,0.435,Major Collector,,,,
84,121-5684,1121200165103INC,1.425,Major Collector,,,,
85,121-5685,1121200165103INC,1.425,Major Collector,,,,
86,121-6200,1121200163203INC,0.36,Major Collector,,,,
87,121-5697,1121200307203INC,1.235,Major Collector,,,,
88,121-0238,1121200611503INC,0.17,Major Collector,,,,
89,121-6220,1121200200903INC,1.075,Local,,,,
90,121-8473,1121200205203INC,0.19,Local,,,,
91,121-8459,1121200189103INC,0.07,Local,,,,
92,121-8485,1121200230703INC,0.085,Local,,,,
93,121-7259,1121200344003INC,0.215,Local,,,,
94,121-8441,1121200158903INC,0.325,Local,,,,
95,121-6208,1121200179203INC,0.755,Local,,,,
96,121-8463,1121200192103INC,0.39,Local,,,,
97,121-8447,1121200167003INC,0.23,Local,,,,
98,121-8861,1121200176703INC,0.04,Local,,,,
99,121-8860,1121200170203INC,0.615,Local,,,,
100,121-5080,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0
101,121-5081,11211000008WEINC,0.085,Principal Arterial,,,,
102,121-5083,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0
103,121-5084,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0
104,121-0471,1000100001000INC,1.03,Principal Arterial,,,,
105,121-5012,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0
106,121-5582,1121200226003INC,0.52,Principal Arterial,,,,
107,121-5581,1121200226003INC,0.52,Principal Arterial,,,,
108,121-5047,1000100000300INC,238.56,Principal Arterial,,,,
109,121-5049,1000100000300INC,238.56,Principal Arterial,,,,
110,121-5052,1000100000300INC,238.56,Principal Arterial,,,,
111,121-5054,1000100000300INC,238.56,Principal Arterial,,,,
112,121-5078,1000100000800INC,53.835,Principal Arterial,,,,
113,121-5056,1000100000300INC,238.56,Principal Arterial,,,,
